PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0zHNC,2r1r1k1/1p3p1p/6pP/pQ2P3/5R2/8/PP6/K1q1R3 w - - 2 29,e1c1 c8c1,450,102,100,368,backRankMate endgame master mate mateIn1 oneMove queenRookEndgame,https://lichess.org/JIRGICW0#57,
0ZYBA,8/7p/1Pbk4/4R3/5P1P/P1B3P1/4p2K/3r4 w - - 6 49,e5e2 d1h1,516,96,79,178,endgame mate mateIn1 oneMove operaMate,https://lichess.org/kbQXGfmK#97,
0AtyV,3Q4/pq3r1k/6rp/1p3p2/5B2/P7/5PPP/R2R2K1 w - - 7 31,d8h4 b7g2,573,108,96,530,mate mateIn1 middlegame oneMove,https://lichess.org/5RetWriV#61,
0qlBi,r1bq1rk1/1ppnbppp/3pp3/p7/1nP1P3/1PQB1N2/PB3PPP/RN2R1K1 b - - 6 13,b4d3 c3g7,617,90,86,186,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/51t3VeSS/black#26,Indian_Defense Indian_Defense_Knights_Variation
0WAMi,r1b1k2r/1pp2ppp/p1p2n2/2b1N3/3qP3/2NP4/PPP2PPP/R1BQK2R w KQkq - 1 8,e5f3 d4f2,665,110,94,790,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/zE8tyZ94#15,Four_Knights_Game Four_Knights_Game_Spanish_Variation
0Rs8e,r3Qk1r/pbN2pp1/1p5p/2b3q1/3n4/2PB4/PP3PPP/RN2R1K1 b - - 4 16,a8e8 e1e8,707,99,96,1124,mate mateIn1 middlegame oneMove,https://lichess.org/imZvZV2K/black#32,French_Defense French_Defense_Exchange_Variation
0FxNY,3r1r1k/pp3pbQ/2n2N2/2P5/q2P4/P1B2P2/2b1P3/R3KBNR b KQ - 0 19,c2h7 h1h7,752,78,99,1232,arabianMate kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/l12i2OYM/black#38,
0jAXR,r2qrn1k/1p1b2bP/4p3/2ppP1N1/p4PP1/2PBP3/PP6/R2QK2R b KQ - 3 20,b7b5 g5f7,796,111,92,478,master mate mateIn1 middlegame oneMove,https://lichess.org/L1Uy6VvU/black#40,
0ff5Z,1n1qr2k/r3b1pp/p2pQB2/2p5/1pP5/5B2/PP1N1PPP/R3R1K1 b - - 0 18,e7f6 e6e8 d8e8 e1e8,829,95,72,200,backRankMate mate mateIn2 middlegame short,https://lichess.org/XESD3IrQ/black#36,Sicilian_Defense Sicilian_Defense_Drazic_Variation
0Jh4W,7k/ppp3pp/3q1n2/5Q2/8/3Nr2P/PPP3PK/RN3B1R w - - 8 26,g2g3 d6g3,860,75,100,270,mate mateIn1 middlegame oneMove,https://lichess.org/L8xuA2wo#51,
0ceEU,r4rk1/pb3ppp/4p3/4P3/2R4R/1K1Qp1PP/PP4q1/8 b - - 0 27,b7d5 d3h7,890,87,89,427,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/FU4doW1C/black#54,
0kVJI,1r6/p6p/2p1N1pk/3p4/P4PPP/8/4Q1K1/2q5 b - - 0 39,b8b2 g4g5,916,80,100,120,endgame master mate mateIn1 oneMove,https://lichess.org/SNGm9cwm/black#78,
0hJHd,2r1r1k1/pbp2p2/1p4pp/4q3/3p2Q1/2PB2R1/PP3PPP/R5K1 w - - 0 22,d3g6 e5e1 a1e1 e8e1,940,86,80,46,kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/pu8ztnbA#43,
0gh6N,r1bq1knr/pp2p1bp/2np2p1/2p3N1/4P3/1QPP4/PP3PPP/RNB1K2R b KQ - 3 8,g8f6 b3f7,966,92,95,1499,mate mateIn1 oneMove opening,https://lichess.org/tQeqtCOR/black#16,Sicilian_Defense Sicilian_Defense_Bowdler_Attack
04tyZ,5k2/p7/1p1Q4/1P1p2p1/P2b2q1/2p4p/2B2P1P/5K2 b - - 3 49,f8e8 c2g6,989,78,99,2908,balestraMate endgame mate mateIn1 oneMove,https://lichess.org/mDsIEv1o/black#98,
0fum9,4k2r/4pp1p/1qp2p2/3b4/1p1P3P/5P2/1PPRQP2/rK3B1R w k - 1 22,b1a1 b6a5 a1b1 a5a2 b1c1 a2a1,1018,84,96,595,long mate mateIn3 middlegame,https://lichess.org/ZxoICaY1#43,
0sbfR,r2q1r1k/4b1pp/p2p1n1B/1p2pN2/3pP3/6Q1/PP3PPP/R3R1K1 b - - 3 18,f8g8 h6g7 g8g7 g3g7,1049,101,87,32,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/C9P9sEAy/black#36,Scotch_Game Scotch_Game_Scotch_Gambit
0VT0B,r6r/p4p1k/1p2pPpQ/4P2p/3qp3/1P6/P5PP/2B2R1K b - - 3 26,h7g8 h6g7,1081,184,100,25,endgame mate mateIn1 oneMove,https://lichess.org/Xnitpz8S/black#52,
0rMc7,r3k2r/ppqnppb1/3P3p/2p3pn/3P2b1/2PB1NB1/PP2QPPP/RN2K2R b KQkq - 0 11,h5g3 e2e7,1113,79,100,87,mate mateIn1 middlegame oneMove,https://lichess.org/5nobq9Lq/black#22,Sicilian_Defense Sicilian_Defense_Alapin_Variation
022Dh,5r2/p3p1kp/1p4p1/4rp2/2P5/3P1Q1P/R3K1P1/2q2BNR w - - 7 32,e2f2 c1e1,1142,77,95,1749,mate mateIn1 middlegame oneMove,https://lichess.org/mdUHn4jB#63,
0ci5A,5b1k/r4pp1/4qn1B/p3rN2/P2pP2R/1Pp4Q/2P3PP/4R2K b - - 0 30,g7h6 h4h6 f8h6 h3h6 f6h7 h6g7,1171,76,88,648,exposedKing kingsideAttack long mate mateIn3 middlegame,https://lichess.org/D3TKLHPt/black#60,
09JUw,1k6/1pN1rq2/pPbQ4/b1p5/2P5/4B2P/6P1/7K b - - 0 37,e7d7 c7a6 b8c8 d6b8,1200,76,99,1492,discoveredCheck doubleCheck mate mateIn2 middlegame short,https://lichess.org/qLjnVYx6/black#74,
0Ee6u,r4rk1/ppp1pp1p/6BQ/8/3q2n1/2N2n2/PPP2P1P/3R1R1K b - - 0 16,d4d1 h6h7,1247,78,86,308,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/mWduEkAE/black#32,Scandinavian_Defense Scandinavian_Defense_Valencian_Variation
0C9xD,2r4k/6pp/p3Nb1P/8/2n2P2/2p3N1/PqP5/K1BQR3 w - - 2 31,c1b2 c3b2 a1b1 c4a3,1296,77,86,59,advancedPawn mate mateIn2 middlegame short,https://lichess.org/RmzUqLOV#61,
0xCEZ,8/pkR5/1p3p2/1P1P2pp/3r3P/6B1/4r1P1/6K1 b - - 1 34,b7a8 c7c8 a8b7 c8b8,1347,86,100,37,endgame mate mateIn2 short,https://lichess.org/OB2JvC1k/black#68,
0cCn2,5rk1/5ppp/2Q1p2q/8/2NP2n1/1P4P1/5P1P/R5K1 w - - 1 22,a1a8 h6h2 g1f1 h2f2,1403,74,83,737,endgame mate mateIn2 short,https://lichess.org/WeD5ak3e#43,
0l5g9,4r2k/p5pp/1p3r2/3Qpp1q/8/1N2PN2/PP2nPPP/R4R1K w - - 7 23,f3e5 h5h2 h1h2 f6h6,1471,75,95,3120,anastasiaMate attraction kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/sWfdhrMu#45,
0h5dU,2kr1bnr/pp3ppp/2b5/3p4/1P3B2/3B4/P4PPP/2R1R1K1 b - - 0 17,f8b4 d3f5 d8d7 e1e8,1552,76,93,963,mate mateIn2 middlegame pin short,https://lichess.org/XmLmmVT7/black#34,French_Defense French_Defense_Advance_Variation
0OZjz,8/2b1qp2/4p1p1/5k1p/3P3P/4QBP1/6K1/8 b - - 6 46,e7d6 e3g5,1652,74,100,726,endgame master mate mateIn1 oneMove,https://lichess.org/w8LL2dFi/black#92,
0xzwS,r1b2b1r/ppNk1ppp/2n1P3/2q5/5B2/5NP1/PPP1Q3/2Kn1B2 b - - 0 17,f7e6 e2e6 d7d8 e6e8,1784,76,72,245,mate mateIn2 middlegame short,https://lichess.org/XbTQqUbq/black#34,Kings_Gambit_Declined Kings_Gambit_Declined_Keene_Defense
